address,price,url,beds,baths,sqft,units,status,home_status,property_subtype,home_type,city,state,zipcode,latitude,longitude,zpid,monthly_rent,total_actual_rent,price_per_sqft,annual_property_tax,down_payment,loan_amount,monthly_mortgage_pi,monthly_taxes,monthly_insurance,monthly_vacancy,monthly_maintenance,monthly_management,monthly_capex,monthly_expenses,monthly_noi,monthly_cash_flow,cash_on_cash_return
"424 W Cherry Ln Trailer 132, Meridian, ID 83642",114900,https://www.zillow.com/homedetails/424-W-Cherry-Ln-TRAILER-132-Meridian-ID-83642/190074094_zpid/,3.0,2.0,900,1,Active,FOR_SALE,,MANUFACTURED,Meridian,ID,83642,43.622665,-116.399605,190074094,2000.0,2000.0,127.66666666666667,1378.8,22980.0,91920.0,627.05643662765,114.89999999999999,33.512499999999996,100.0,100.0,160.0,100.0,1235.46893662765,1391.5875,764.53106337235,39.92329312649347
"424 W Cherry Ln, Meridian, ID 83642",114900,https://www.zillow.com/homedetails/424-W-Cherry-Ln-Meridian-ID-83642/239901460_zpid/,3.0,2.0,1033,1,Active,FOR_SALE,,MANUFACTURED,Meridian,ID,83642,43.61943,-116.39965,239901460,2000.0,2000.0,111.22942884801549,1378.8,22980.0,91920.0,627.05643662765,114.89999999999999,33.512499999999996,100.0,100.0,160.0,100.0,1235.46893662765,1391.5875,764.53106337235,39.92329312649347
"424 W Cherry Ln Trailer 53, Meridian, ID 83642",159000,https://www.zillow.com/homedetails/424-W-Cherry-Ln-TRAILER-53-Meridian-ID-83642/190077929_zpid/,4.0,2.0,1792,1,For sale by owner,FOR_SALE,,MANUFACTURED,Meridian,ID,83642,43.62109,-116.39953,190077929,2000.0,2000.0,88.72767857142857,1908.0,31800.0,127200.0,867.7282282314738,159.0,46.37499999999999,100.0,100.0,160.0,100.0,1533.1032282314738,1334.625,466.89677176852615,17.618746104472685
"700 E Fairview Ave Trailer 28, Meridian, ID 83642",185000,https://www.zillow.com/homedetails/700-E-Fairview-Ave-TRAILER-28-Meridian-ID-83642/448845078_zpid/,3.0,2.0,2496,1,New,FOR_SALE,,MANUFACTURED,Meridian,ID,83642,43.620415,-116.38851,448845078,2000.0,2000.0,74.11858974358974,2220.0,37000.0,148000.0,1009.6208944831614,185.0,53.95833333333332,100.0,100.0,160.0,100.0,1708.5792278164947,1301.0416666666667,291.4207721835053,9.45148450324882
"918 NW 4th St, Meridian, ID 83642",674900,https://www.zillow.com/homedetails/918-NW-4th-St-Meridian-ID-83642/79631655_zpid/,6.0,3.0,3072,3,Active,FOR_SALE,Triplex,MULTI_FAMILY,Meridian,ID,83642,43.6125,-116.397995,79631655,6000.0,6000.0,219.69401041666666,8098.8,134980.0,539920.0,3683.2061712793816,674.9,196.8458333333333,300.0,300.0,480.0,300.0,5934.9520046127145,3748.2541666666666,65.04799538728548,0.5782900760463963
"19 S Rose Cir, Meridian, ID 83642",230000,https://www.zillow.com/homedetails/19-S-Rose-Cir-Meridian-ID-83642/79604311_zpid/,2.0,2.0,1344,1,Active,FOR_SALE,,MANUFACTURED,Meridian,ID,83642,43.603577,-116.394295,79604311,2000.0,2000.0,171.13095238095238,2760.0,46000.0,184000.0,1255.2043553033898,230.0,67.08333333333333,100.0,100.0,160.0,100.0,2012.287688636723,1242.9166666666667,-12.287688636723033,-0.3205483992188617
"714 NW 8th St, Meridian, ID 83642",259000,https://www.zillow.com/homedetails/714-NW-8th-St-Meridian-ID-83642/79591858_zpid/,2.0,1.0,975,1,Active,FOR_SALE,,CONDO,Meridian,ID,83642,43.610413,-116.40391,79591858,2000.0,2000.0,265.64102564102564,3108.0,51800.0,207200.0,1413.469252276426,259.0,75.54166666666666,100.0,100.0,160.0,100.0,2208.0109189430927,1205.4583333333335,-208.01091894309275,-4.818785767021454
"728 NW 8th St, Meridian, ID 83642",287400,https://www.zillow.com/homedetails/728-NW-8th-St-Meridian-ID-83642/79650237_zpid/,2.0,1.0,975,1,Active,FOR_SALE,,CONDO,Meridian,ID,83642,43.61071,-116.40391,79650237,2000.0,2000.0,294.7692307692308,3448.8,57480.0,229920.0,1568.4597031051924,287.40000000000003,83.82499999999999,100.0,100.0,160.0,100.0,2399.6847031051925,1168.775,-399.6847031051925,-8.344148290296296
"1515 W Maple Ave, Meridian, ID 83642",519900,https://www.zillow.com/homedetails/1515-W-Maple-Ave-Meridian-ID-83642/79634571_zpid/,4.0,2.0,1752,2,New,FOR_SALE,Duplex,MULTI_FAMILY,Meridian,ID,83642,43.615795,-116.4128,79634571,4000.0,4000.0,296.74657534246575,6238.8,103980.0,415920.0,2837.3075840097063,519.9,151.6375,200.0,200.0,320.0,200.0,4428.845084009707,2408.4625,-428.8450840097066,-4.949164270163954
"691 W Barrett St, Meridian, ID 83642",315000,https://www.zillow.com/homedetails/691-W-Barrett-St-Meridian-ID-83642/72683266_zpid/,2.0,2.0,1008,1,Active,FOR_SALE,,TOWNHOUSE,Meridian,ID,83642,43.602238,-116.402145,72683266,2000.0,2000.0,312.5,3780.0,63000.0,252000.0,1719.084225741599,315.0,91.875,100.0,100.0,160.0,100.0,2585.959225741599,1133.125,-585.9592257415989,-11.161128109363789
